Iter,Nb Neutrons,Power,Temperature
1,42,0.0,0.0
2,32,0.0,0.0
3,27,0.0,0.0
4,30,6.4e-17,5.76e-24
5,33,1.9200000000000001e-16,1.728e-23
6,40,3.8400000000000003e-16,3.456e-23
7,42,6.72e-16,6.047999999999999e-23
8,52,8.96e-16,8.064e-23
9,53,1.2799999999999999e-15,1.152e-22
10,54,1.664e-15,1.4976000000000002e-22
11,54,1.888e-15,1.6991999999999998e-22
12,55,2.272e-15,2.0448e-22
13,50,2.528e-15,2.2752e-22
14,51,2.784e-15,2.5056e-22
15,55,3.136e-15,2.8224000000000002e-22
16,58,3.5519999999999997e-15,3.1968e-22
17,68,3.9039999999999995e-15,3.5135999999999997e-22
18,76,4.448e-15,4.0032e-22
19,75,4.928e-15,4.4352e-22
20,82,5.376e-15,4.838399999999999e-22
21,86,5.984e-15,5.385600000000001e-22
22,88,6.5279999999999996e-15,5.8752e-22
23,92,7.1039999999999995e-15,6.3936e-22
24,104,7.648e-15,6.8832e-22
25,107,8.383999999999999e-15,7.545599999999998e-22
26,111,9.12e-15,8.208e-22
27,121,9.76e-15,8.784e-22
28,126,1.0528e-14,9.4752e-22
29,128,1.1392e-14,1.0252800000000002e-21
30,153,1.2159999999999999e-14,1.0943999999999999e-21
31,162,1.3344e-14,1.20096e-21
32,181,1.4304e-14,1.28736e-21
33,182,1.5583999999999998e-14,1.4025599999999997e-21
34,199,1.6735999999999997e-14,1.5062399999999999e-21
35,204,1.7984000000000002e-14,1.6185600000000002e-21
36,206,1.9328e-14,1.73952e-21
37,227,2.0639999999999998e-14,1.8576e-21
38,242,2.2207999999999998e-14,1.99872e-21
39,263,2.3648000000000002e-14,2.1283200000000003e-21
40,277,2.5568000000000002e-14,2.3011200000000003e-21
41,289,2.7328e-14,2.45952e-21
42,306,2.9247999999999996e-14,2.6323199999999998e-21
43,322,3.136e-14,2.8224e-21
44,350,3.36e-14,3.024e-21
45,363,3.5871999999999996e-14,3.2284799999999995e-21
46,384,3.8111999999999995e-14,3.43008e-21
47,404,4.0288e-14,3.62592e-21
48,435,4.2848e-14,3.85632e-21
49,461,4.5983999999999996e-14,4.13856e-21
50,493,4.8864e-14,4.39776e-21
51,530,5.2192e-14,4.69728e-21
52,553,5.5904e-14,5.03136e-21
53,599,5.9648e-14,5.3683199999999996e-21
54,637,6.3712e-14,5.73408e-21
55,687,6.819199999999999e-14,6.13728e-21
56,728,7.2576e-14,6.53184e-21
57,812,7.750400000000001e-14,6.975360000000001e-21
58,833,8.3168e-14,7.48512e-21
59,912,8.8032e-14,7.92288e-21
60,975,9.4624e-14,8.51616e-21
